Date,Trap,Address,Species,NumMosquitos,WnvPresent
2007-05-29,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,1,0
2007-05-29,T007,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,1,0
2007-05-29,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,4,0
2007-05-29,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,2,0
2007-05-29,T046,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,1,0
2007-05-29,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,2,0
2007-05-29,T049,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,1,0
2007-05-29,T050,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T054,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,2,0
2007-05-29,T054,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,3,0
2007-05-29,T086,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T086,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,1,0
2007-05-29,T091,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,1,0
2007-05-29,T094,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,3,0
2007-05-29,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,1,0
2007-05-29,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,5,0
2007-05-29,T129,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T129,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,2,0
2007-05-29,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T148,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,1,0
2007-05-29,T153,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,1,0
2007-05-29,T159,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,1,0
2007-06-05,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,1,0
2007-06-05,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,3,0
2007-06-05,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,5,0
2007-06-05,T009,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,2,0
2007-06-05,T011,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,1,0
2007-06-05,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,2,0
2007-06-05,T016,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,1,0
2007-06-05,T019,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,1,0
2007-06-05,T025,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,1,0
2007-06-05,T028,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,2,0
2007-06-05,T031,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T033,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,3,0
2007-06-05,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,1,0
2007-06-05,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,2,0
2007-06-05,T046,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,1,0
2007-06-05,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,2,0
2007-06-05,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,1,0
2007-06-05,T049,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,2,0
2007-06-05,T050,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T050,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,1,0
2007-06-05,T054,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,3,0
2007-06-05,T086,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,4,0
2007-06-05,T089,"South Vincennes Avenue, Chicago, IL, USA",CULEX RESTUANS,1,0
2007-06-05,T090,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T090,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX RESTUANS,7,0
2007-06-05,T092,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T094,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-05,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,1,0
2007-06-05,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,1,0
2007-06-05,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,1,0
2007-06-05,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-05,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,4,0
2007-06-05,T141,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T141,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,2,0
2007-06-05,T142,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T142,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,3,0
2007-06-05,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-05,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,9,0
2007-06-05,T145,"Chicago, IL, USA",CULEX RESTUANS,3,0
2007-06-05,T146,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T146,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX RESTUANS,2,0
2007-06-05,T147,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,1,0
2007-06-05,T149,"1500 West Granville Avenue, Chicago, IL 60660, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T150,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX RESTUANS,2,0
2007-06-05,T151,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T151,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,10,0
2007-06-05,T152,"2500 South Millard Avenue, Chicago, IL 60623, USA",CULEX RESTUANS,1,0
2007-06-05,T153,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,3,0
2007-06-05,T154,"2100 North Lawler Avenue, Chicago, IL 60639, USA",CULEX RESTUANS,1,0
2007-06-05,T158,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,3,0
2007-06-05,T158,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX RESTUANS,8,0
2007-06-05,T159,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,1,0
2007-06-05,T162,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-05,T218,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-05,T218,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX RESTUANS,1,0
2007-06-05,T220,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX RESTUANS,1,0
2007-06-26,T001,"4000 North Tripp Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,4,0
2007-06-26,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX SALINARIUS,1,0
2007-06-26,T003,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,2,0
2007-06-26,T006,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T006,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,1,0
2007-06-26,T007,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T007,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,4,0
2007-06-26,T008,"7000 North Moselle Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,2,0
2007-06-26,T011,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T011,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,4,0
2007-06-26,T012,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,1,0
2007-06-26,T016,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T016,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,2,0
2007-06-26,T019,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,1,0
2007-06-26,T025,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T028,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T028,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,9,0
2007-06-26,T033,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T033,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,3,0
2007-06-26,T034,"2700 South Western Avenue, Chicago, IL 60608, USA",CULEX RESTUANS,1,0
2007-06-26,T037,"6800 West Belden Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,1,0
2007-06-26,T040,"2100 South Hamlin Avenue, Chicago, IL 60623, USA",CULEX PIPIENS/RESTUANS,5,0
2007-06-26,T040,"2100 South Hamlin Avenue, Chicago, IL 60623, USA",CULEX RESTUANS,1,0
2007-06-26,T043,"3000 West 18th Street, Chicago, IL 60608, USA",CULEX RESTUANS,1,0
2007-06-26,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,1,0
2007-06-26,T046,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T046,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,6,0
2007-06-26,T047,"1100 South California Avenue, Chicago, IL 60612, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T047,"1100 South California Avenue, Chicago, IL 60612, USA",CULEX RESTUANS,1,0
2007-06-26,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T049,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,1,0
2007-06-26,T050,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,1,0
2007-06-26,T051,"2500 South Throop Street, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T085,"1000 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,2,0
2007-06-26,T086,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T086,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,2,0
2007-06-26,T088,"1000 South California Avenue, Chicago, IL 60612, USA",CULEX PIPIENS,1,0
2007-06-26,T090,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS,1,0
2007-06-26,T090,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS/RESTUANS,10,0
2007-06-26,T090,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX RESTUANS,19,0
2007-06-26,T096,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,5,0
2007-06-26,T129,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T129,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,1,0
2007-06-26,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,6,0
2007-06-26,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,20,0
2007-06-26,T135,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,25,0
2007-06-26,T141,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T141,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,3,0
2007-06-26,T142,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,4,0
2007-06-26,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,1,0
2007-06-26,T145,"Chicago, IL, USA",CULEX RESTUANS,1,0
2007-06-26,T146,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX RESTUANS,6,0
2007-06-26,T147,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,1,0
2007-06-26,T148,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-26,T148,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX RESTUANS,2,0
2007-06-26,T150,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX RESTUANS,2,0
2007-06-26,T151,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,3,0
2007-06-26,T151,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,6,0
2007-06-26,T158,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-26,T158,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX RESTUANS,4,0
2007-06-26,T161,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,3,0
2007-06-26,T161,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX RESTUANS,5,0
2007-06-26,T219,"1800 West Leland Avenue, Chicago, IL 60640, USA",CULEX RESTUANS,1,0
2007-06-26,T220,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX RESTUANS,1,0
2007-06-29,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,2,0
2007-06-29,T006,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,1,0
2007-06-29,T012,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-29,T013,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",CULEX PIPIENS/RESTUANS,1,0
2007-06-29,T014,"6400 West Strong Street, Chicago, IL, USA",CULEX RESTUANS,1,0
2007-06-29,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,1,0
