Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal
2007-05-01,83,50,67.0,51,56.0,0.0
2007-05-02,59,42,51.0,42,47.0,0.0
2007-05-03,66,46,56.0,40,48.0,0.0
2007-05-04,66,49,58.0,41,50.0,0.0
2007-05-05,66,53,60.0,38,49.0,0.0
2007-05-06,68,49,59.0,30,46.0,0.0
2007-05-07,83,47,65.0,41,54.0,0.0
2007-05-08,82,54,68.0,58,62.0,0.0
2007-05-09,77,61,69.0,59,63.0,0.13
2007-05-10,84,56,70.0,52,60.0,0.0
2007-05-11,70,51,61.0,42,51.0,0.0
2007-05-12,64,46,55.0,36,46.0,0.0
2007-05-13,69,43,56.0,33,46.0,0.0
2007-05-14,90,56,73.0,47,59.0,0.0
2007-05-15,80,57,69.0,56,61.0,0.38
2007-05-16,66,44,55.0,43,48.0,0.14
2007-05-17,62,43,53.0,32,43.0,0.0
2007-05-18,71,42,57.0,30,46.0,0.0
2007-05-19,80,56,68.0,39,53.0,0.0
2007-05-20,69,43,56.0,40,44.0,0.07
2007-05-21,80,44,62.0,50,56.0,0.0
2007-05-22,87,55,71.0,46,58.0,0.0
2007-05-23,89,60,75.0,49,61.0,0.0
2007-05-24,88,63,76.0,54,63.0,0.02
2007-05-25,70,56,63.0,44,53.0,0.0
2007-05-26,65,49,57.0,55,56.0,1.01
2007-05-27,75,57,66.0,47,56.0,0.04
2007-05-28,79,50,65.0,47,56.0,0.0
2007-05-29,88,60,74.0,58,65.0,0.0
2007-05-30,87,66,77.0,58,65.0,0.0
2007-05-31,78,65,72.0,61,65.0,0.01
2007-06-01,85,62,74.0,63,66.0,0.19
2007-06-02,81,65,73.0,63,67.0,0.04
2007-06-03,78,62,70.0,60,63.0,0.01
2007-06-04,71,58,65.0,58,60.0,0.39
2007-06-05,64,47,56.0,48,51.0,0.42
2007-06-06,71,44,58.0,48,55.0,0.01
2007-06-07,91,71,81.0,62,69.0,0.0
2007-06-08,81,57,69.0,53,61.0,0.0
2007-06-09,79,52,66.0,47,57.0,0.0
2007-06-10,81,55,68.0,51,59.0,0.0
2007-06-11,86,58,72.0,52,61.0,0.0
2007-06-12,83,62,73.0,50,60.0,0.0
2007-06-13,87,60,74.0,53,62.0,0.0
2007-06-14,89,64,77.0,55,64.0,0.0
2007-06-15,91,63,77.0,56,64.0,0.0
2007-06-16,93,66,80.0,60,67.0,0.0
2007-06-17,91,70,81.0,64,70.0,0.0
2007-06-18,89,69,79.0,65,70.0,0.28
2007-06-19,80,65,73.0,55,63.0,0.58
2007-06-20,84,61,73.0,52,61.0,0.0
2007-06-21,77,61,69.0,51,60.0,0.01
2007-06-22,76,61,69.0,50,58.0,0.0
2007-06-23,67,62,65.0,58,61.0,0.05
2007-06-24,77,63,70.0,62,65.0,0.0
2007-06-25,89,65,77.0,66,70.0,0.0
2007-06-26,92,70,81.0,69,72.0,0.16
2007-06-27,91,71,81.0,70,72.0,0.15
2007-06-28,74,58,66.0,55,60.0,0.0
2007-06-29,70,56,63.0,55,59.0,0.0
2007-06-30,79,54,67.0,46,56.0,0.0
2007-07-01,75,54,65.0,52,58.0,0.0
2007-07-02,79,53,66.0,50,58.0,0.0
2007-07-03,83,60,72.0,57,63.0,0.4
2007-07-04,86,67,77.0,65,69.0,0.16
2007-07-05,89,71,80.0,60,67.0,0.0
2007-07-06,86,66,76.0,57,64.0,0.0
2007-07-07,90,64,77.0,63,69.0,0.0
2007-07-08,94,75,85.0,67,72.0,0.0
2007-07-09,94,70,82.0,66,70.0,0.3
2007-07-10,89,69,79.0,67,70.0,0.43
2007-07-11,77,62,70.0,51,59.0,0.0
2007-07-12,80,61,71.0,51,59.0,0.0
2007-07-13,78,58,68.0,52,58.0,0.0
2007-07-14,84,61,73.0,55,62.0,0.0
2007-07-15,82,60,71.0,53,61.0,0.0
2007-07-16,82,65,74.0,60,65.0,0.39
2007-07-17,83,68,76.0,66,69.0,0.11
2007-07-18,85,69,77.0,68,71.0,1.55
